poi_count,tag,,,Row Labels,Sum of tag
2564,1,,,,
2575,1,,,,
2580,1,,,,
2635,1,,,,
2655,1,,,,
2675,1,,,,
2797,1,,,,
2830,1,,,,
2941,1,,,,
2947,1,,,,
3006,1,,,,
3030,1,,,,
3094,1,,,,
3131,1,,,,
3167,1,,,,
3178,1,,,,
3668,1,,,,
4032,1,,,,
4058,1,,,,
4083,1,,,,
4150,1,,,,
4324,1,,,,
4340,1,,,,
4386,1,,,,
4394,1,,,,
4447,1,,,,
4559,1,,,,
4584,1,,,,
4588,1,,,,
4648,1,,,,
5019,1,,,,
5041,1,,,,
5089,1,,,,
5102,1,,,,
5203,1,,,,
5532,1,,,,
5953,1,,,,
5962,1,,,,
6083,1,,,,
6180,1,,,,
6609,1,,,,
6844,1,,,,
6985,1,,,,
7026,1,,,,
7072,1,,,,
7271,1,,,,
7285,1,,,,
7331,1,,,,
7797,1,,,,
8145,1,,,,
8183,1,,,,
8222,1,,,,
8375,1,,,,
8408,1,,,,
8472,1,,,,
8526,1,,,,
8974,1,,,,
9162,1,,,,
9200,1,,,,
11587,1,,,,
11977,1,,,,
11981,1,,,,
12303,1,,,,
13696,1,,,,
16985,1,,,,
17922,1,,,,
18127,1,,,,
20458,1,,,,
22509,1,,,,
22573,1,,,,
45243,1,,,,
47366,1,,,,
6888076,1,,,,
8451240,1,,,,
